"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1","test_allure_simple_test displayName","tests","Wed Aug 07 07:58:23 UTC 2024","passed","Wed Aug 07 07:58:23 UTC 2024","","allure_sample_test","",""
"","1","test_allure_simple_test displayName","tests","Wed Aug 07 07:58:23 UTC 2024","passed","Wed Aug 07 07:58:23 UTC 2024","","allure_sample_test","",""
