"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","0","test_allure_simple_test displayName","tests","Thu Aug 08 05:52:23 UTC 2024","passed","Thu Aug 08 05:52:23 UTC 2024","","allure_sample_test","",""
"","1","test_allure_simple_test displayName","tests","Thu Aug 08 05:52:23 UTC 2024","passed","Thu Aug 08 05:52:23 UTC 2024","","allure_sample_test","",""
